Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,Revenue,Order_Date,Sales_Channel,Region,Profit,Month_Name,Year,Day_Type,Year_Quarter
2022,Women,Soccer,Premier III,M,2,0.0,2024-09-24,Online,Pune,3427.16,September,2024,Working Day,3
2023,Men,Lifestyle,Waffle One,M,2,0.0,2025-01-10,Online,Mumbai,1498.37,January,2025,Working Day,1
2024,Kids,Training,SuperRep Go,XL,0,0.0,2024-12-28,Retail,Bangalore,1842.35,December,2024,Weekend,4
2025,Women,Basketball,Kyrie Flytrap,M,3,0.0,2024-08-10,Retail,Mumbai,1900.15,August,2024,Weekend,3
2026,Kids,Lifestyle,Blazer Mid,XL,1,0.0,2024-08-10,Retail,Kolkata,2301.64,August,2024,Weekend,3
2027,Men,Basketball,Zoom Freak,XL,2,0.0,2023-10-28,Online,Pune,138.74,October,2023,Weekend,4
2028,Men,Training,Flex Trainer,12,2,0.0,2023-10-28,Retail,Delhi,946.86,October,2023,Weekend,4
2029,Men,Training,ZoomX Invincible,12,0,0.0,2023-10-28,Online,Bangalore,185.67,October,2023,Weekend,4
2030,Men,Soccer,Phantom GT,XL,2,0.0,2025-07-14,Retail,Hyderabad,122.93,July,2025,Working Day,3
2031,Men,Soccer,Premier III,UNKNOWN,4,2514.99,2024-05-09,Online,Delhi,350.7,May,2024,Working Day,2
2032,Women,Lifestyle,Blazer Mid,XL,1,0.0,2025-04-11,Retail,Mumbai,555.16,April,2025,Working Day,2
2033,Men,Soccer,Mercurial Superfly,XL,1,0.0,2025-04-30,Retail,Kolkata,1005.71,April,2025,Working Day,2
2034,Men,Basketball,Air Jordan,6,2,0.0,2025-04-30,Retail,Delhi,267.37,April,2025,Working Day,2
2035,Kids,Basketball,Zoom Freak,UNKNOWN,4,0.0,2024-11-17,Online,Bangalore,2914.83,November,2024,Weekend,4
2036,Men,Training,Metcon 7,UNKNOWN,3,0.0,2025-02-15,Retail,Bangalore,143.8,February,2025,Weekend,1
2037,Kids,Running,Pegasus Turbo,7,3,169.59,2025-04-22,Retail,Pune,2776.96,April,2025,Working Day,2
2038,Kids,Running,Free RN,UNKNOWN,0,0.0,2025-04-22,Online,Delhi,1163.21,April,2025,Working Day,2
2039,Women,Training,Flex Trainer,M,2,0.0,2025-04-22,Retail,Hyderabad,336.3,April,2025,Working Day,2
2041,Kids,Soccer,Tiempo Legend,12,2,0.0,2025-03-05,Online,Hyderabad,2371.66,March,2025,Working Day,1
2042,Women,Basketball,Kyrie Flytrap,L,2,0.0,2025-04-19,Online,Hyderabad,862.16,April,2025,Weekend,2
2043,Men,Soccer,Premier III,XL,2,0.0,2024-05-02,Retail,Delhi,3770.75,May,2024,Working Day,2
2044,Kids,Training,SuperRep Go,UNKNOWN,2,0.0,2023-09-06,Online,Delhi,2174.71,September,2023,Working Day,3
2045,Kids,Lifestyle,Dunk Low,XL,4,0.0,2025-04-06,Retail,Delhi,1833.94,April,2025,Weekend,2
2046,Kids,Running,Air Zoom,12,2,0.0,2024-06-13,Online,Kolkata,1284.33,June,2024,Working Day,2
2047,Women,Training,SuperRep Go,10,1,0.0,2024-06-13,Retail,Bangalore,2888.68,June,2024,Working Day,2
2048,Women,Basketball,Air Jordan,XL,2,0.0,2024-10-27,Online,Bangalore,2875.86,October,2024,Weekend,4
2049,Kids,Soccer,Tiempo Legend,L,1,0.0,2024-01-05,Retail,Pune,311.48,January,2024,Working Day,1
2050,Men,Running,Air Zoom,L,1,0.0,2024-01-05,Retail,Kolkata,682.12,January,2024,Working Day,1
2051,Women,Basketball,Air Jordan,XL,2,0.0,2024-01-05,Retail,Delhi,3135.98,January,2024,Working Day,1
2052,Men,Training,Flex Trainer,10,3,0.0,2024-10-08,Retail,Pune,2184.8,October,2024,Working Day,4
2053,Men,Lifestyle,Air Force 1,XL,3,0.0,2024-10-02,Online,Delhi,3384.92,October,2024,Working Day,4
2054,Women,Training,Flex Trainer,11,1,0.0,2025-06-23,Online,Mumbai,549.76,June,2025,Working Day,2
2055,Men,Basketball,Kyrie Flytrap,L,2,0.0,2024-10-26,Online,Hyderabad,1078.76,October,2024,Weekend,4
2056,Men,Running,React Infinity,L,3,0.0,2024-05-31,Retail,Bangalore,244.44,May,2024,Working Day,2
2058,Women,Training,Flex Trainer,11,2,0.0,2023-12-27,Online,Kolkata,361.54,December,2023,Working Day,4
2059,Kids,Soccer,Phantom GT,UNKNOWN,1,0.0,2023-12-27,Retail,Delhi,291.28,December,2023,Working Day,4
2060,Men,Lifestyle,Waffle One,L,2,0.0,2024-07-11,Online,Bangalore,2821.59,July,2024,Working Day,3
2061,Women,Basketball,LeBron 20,L,2,0.0,2024-09-10,Online,Mumbai,501.68,September,2024,Working Day,3
2062,Men,Basketball,Air Jordan,UNKNOWN,2,0.0,2025-06-06,Online,Bangalore,1823.91,June,2025,Working Day,2
2063,Women,Basketball,Air Jordan,M,1,8190.84,2024-09-06,Retail,Pune,1130.31,September,2024,Working Day,3
2064,Kids,Running,React Infinity,L,2,0.0,2025-03-02,Online,Bangalore,3277.44,March,2025,Weekend,1
2065,Women,Lifestyle,Waffle One,10,2,0.0,2024-02-11,Retail,Hyderabad,21.58,February,2024,Weekend,1
2066,Men,Soccer,Phantom GT,XL,1,0.0,2024-12-10,Online,Mumbai,1022.82,December,2024,Working Day,4
2067,Kids,Basketball,LeBron 20,L,4,0.0,2025-05-06,Online,Kolkata,161.5,May,2025,Working Day,2
2068,Men,Running,Free RN,UNKNOWN,4,0.0,2024-12-05,Retail,Mumbai,984.9,December,2024,Working Day,4
2069,Women,Training,SuperRep Go,UNKNOWN,2,0.0,2025-07-14,Online,Pune,3554.58,July,2025,Working Day,3
2070,Kids,Running,React Infinity,L,2,0.0,2025-01-12,Retail,Mumbai,1112.43,January,2025,Weekend,1
2071,Kids,Lifestyle,Blazer Mid,M,3,12010.21,2025-01-12,Retail,Pune,882.96,January,2025,Weekend,1
2072,Men,Training,Flex Trainer,UNKNOWN,3,0.0,2024-11-03,Retail,Pune,3639.2,November,2024,Weekend,4
2073,Women,Lifestyle,Blazer Mid,12,4,0.0,2024-11-03,Online,Hyderabad,443.86,November,2024,Weekend,4
2074,Men,Training,Flex Trainer,L,1,0.0,2025-07-14,Online,Kolkata,1958.47,July,2025,Working Day,3
2075,Kids,Basketball,Air Jordan,L,4,0.0,2025-07-14,Online,Pune,2345.35,July,2025,Working Day,3
2076,Women,Training,ZoomX Invincible,11,2,0.0,2024-10-13,Retail,Bangalore,2011.25,October,2024,Weekend,4
2077,Men,Training,ZoomX Invincible,L,2,0.0,2023-11-21,Online,Pune,3332.66,November,2023,Working Day,4
2078,Women,Basketball,LeBron 20,UNKNOWN,0,0.0,2025-01-19,Online,Mumbai,262.79,January,2025,Weekend,1
2079,Men,Running,Pegasus Turbo,XL,1,0.0,2025-01-19,Online,Bangalore,279.78,January,2025,Weekend,1
2080,Men,Lifestyle,Blazer Mid,L,2,0.0,2025-03-31,Online,Bangalore,1005.89,March,2025,Working Day,1
2081,Men,Training,ZoomX Invincible,L,2,0.0,2024-10-14,Online,Mumbai,2810.49,October,2024,Working Day,4
2083,Men,Running,Free RN,UNKNOWN,2,0.0,2024-10-14,Retail,Delhi,981.21,October,2024,Working Day,4
2084,Men,Training,Metcon 7,M,2,0.0,2023-12-24,Online,Mumbai,408.39,December,2023,Weekend,4
2085,Men,Basketball,Kyrie Flytrap,UNKNOWN,2,0.0,2024-12-17,Retail,Kolkata,98.72,December,2024,Working Day,4
2086,Men,Soccer,Mercurial Superfly,L,0,0.0,2024-10-11,Online,Kolkata,1742.66,October,2024,Working Day,4
2087,Kids,Basketball,Zoom Freak,UNKNOWN,2,0.0,2024-11-01,Online,Kolkata,3777.5,November,2024,Working Day,4
2088,Women,Running,Free RN,XL,4,0.0,2025-04-26,Online,Bangalore,2702.93,April,2025,Weekend,2
2089,Women,Training,Flex Trainer,L,2,5499.82,2024-12-02,Online,Mumbai,1076.66,December,2024,Working Day,4
2090,Kids,Lifestyle,Dunk Low,8,2,0.0,2024-11-10,Retail,Bangalore,163.15,November,2024,Weekend,4
2091,Kids,Running,Air Zoom,11,2,0.0,2024-11-10,Retail,Mumbai,1917.55,November,2024,Weekend,4
2092,Kids,Basketball,Zoom Freak,XL,2,0.0,2024-11-10,Online,Delhi,207.2,November,2024,Weekend,4
2093,Men,Running,Free RN,XL,0,0.0,2024-11-10,Online,Kolkata,146.73,November,2024,Weekend,4
2094,Kids,Training,Flex Trainer,10,1,0.0,2024-11-10,Retail,Delhi,2974.58,November,2024,Weekend,4
2095,Men,Lifestyle,Waffle One,M,2,0.0,2024-10-16,Online,Delhi,880.57,October,2024,Working Day,4
2096,Men,Running,Pegasus Turbo,XL,2,0.0,2024-12-24,Online,Kolkata,288.66,December,2024,Working Day,4
2097,Women,Training,ZoomX Invincible,XL,2,0.0,2024-01-24,Online,Bangalore,769.05,January,2024,Working Day,1
2098,Men,Training,ZoomX Invincible,L,2,0.0,2024-01-24,Online,Hyderabad,98.3,January,2024,Working Day,1
2099,Kids,Soccer,Mercurial Superfly,M,2,0.0,2025-02-01,Retail,Mumbai,360.97,February,2025,Weekend,1
2100,Kids,Soccer,Phantom GT,8,1,0.0,2025-07-11,Retail,Mumbai,2287.57,July,2025,Working Day,3
2101,Kids,Running,Free RN,XL,2,0.0,2025-07-03,Online,Hyderabad,3398.01,July,2025,Working Day,3
2102,Women,Soccer,Mercurial Superfly,XL,1,0.0,2025-04-10,Online,Pune,284.17,April,2025,Working Day,2
2103,Women,Basketball,LeBron 20,XL,1,0.0,2025-01-08,Online,Kolkata,469.61,January,2025,Working Day,1
2104,Men,Basketball,Kyrie Flytrap,UNKNOWN,2,0.0,2024-11-17,Retail,Delhi,2905.91,November,2024,Weekend,4
2105,Kids,Training,Metcon 7,UNKNOWN,2,0.0,2024-11-17,Retail,Mumbai,1716.04,November,2024,Weekend,4
2106,Women,Running,Free RN,UNKNOWN,2,0.0,2024-08-30,Retail,Bangalore,76.95,August,2024,Working Day,3
2107,Women,Running,React Infinity,M,4,0.0,2024-08-30,Online,Hyderabad,184.69,August,2024,Working Day,3
2108,Kids,Lifestyle,Air Force 1,XL,2,0.0,2024-11-15,Retail,Mumbai,338.77,November,2024,Working Day,4
2109,Kids,Basketball,Zoom Freak,M,0,0.0,2025-01-29,Retail,Kolkata,3791.88,January,2025,Working Day,1
2110,Kids,Running,Air Zoom,12,1,0.0,2024-12-25,Retail,Pune,259.29,December,2024,Working Day,4
2111,Men,Lifestyle,Waffle One,UNKNOWN,2,0.0,2024-11-21,Retail,Bangalore,1326.67,November,2024,Working Day,4
2112,Women,Training,Metcon 7,UNKNOWN,2,0.0,2023-12-19,Retail,Bangalore,697.42,December,2023,Working Day,4
2113,Women,Basketball,Air Jordan,XL,2,0.0,2023-12-19,Retail,Pune,2918.93,December,2023,Working Day,4
2114,Women,Training,Flex Trainer,XL,1,1488.65,2024-08-27,Retail,Pune,1567.37,August,2024,Working Day,3
2115,Kids,Soccer,Phantom GT,6,2,0.0,2024-08-27,Online,Kolkata,1969.03,August,2024,Working Day,3
2116,Women,Basketball,LeBron 20,UNKNOWN,2,0.0,2024-08-27,Online,Hyderabad,2088.55,August,2024,Working Day,3
2117,Women,Training,SuperRep Go,L,0,0.0,2024-10-30,Online,Pune,2037.43,October,2024,Working Day,4
2118,Kids,Basketball,Zoom Freak,XL,2,0.0,2023-09-21,Online,Hyderabad,2696.85,September,2023,Working Day,3
2119,Women,Training,Metcon 7,11,1,0.0,2025-04-05,Retail,Kolkata,2887.81,April,2025,Weekend,2
2120,Men,Soccer,Phantom GT,12,2,0.0,2024-12-14,Retail,Pune,328.0,December,2024,Weekend,4
2122,Kids,Soccer,Mercurial Superfly,UNKNOWN,0,0.0,2024-09-15,Retail,Bangalore,1078.48,September,2024,Weekend,3
2123,Men,Running,Air Zoom,L,2,0.0,2024-09-15,Retail,Hyderabad,2195.52,September,2024,Weekend,3
2124,Kids,Basketball,Kyrie Flytrap,L,2,0.0,2025-07-04,Online,Kolkata,432.04,July,2025,Working Day,3
2125,Women,Soccer,Tiempo Legend,M,2,0.0,2024-12-10,Retail,Hyderabad,1051.22,December,2024,Working Day,4
2126,Kids,Running,Pegasus Turbo,L,1,0.0,2024-12-14,Retail,Pune,2508.34,December,2024,Weekend,4
2127,Men,Training,Metcon 7,L,1,0.0,2023-08-19,Online,Mumbai,3718.37,August,2023,Weekend,3
2128,Women,Basketball,LeBron 20,L,2,0.0,2024-09-14,Retail,Bangalore,1411.29,September,2024,Weekend,3
2129,Men,Basketball,Zoom Freak,9,2,0.0,2024-09-14,Retail,Delhi,841.4,September,2024,Weekend,3
2130,Men,Soccer,Premier III,10,3,0.0,2024-09-14,Online,Bangalore,2962.75,September,2024,Weekend,3
2131,Kids,Running,Free RN,XL,2,0.0,2024-10-10,Retail,Mumbai,2227.48,October,2024,Working Day,4
2132,Men,Running,Free RN,L,2,0.0,2024-10-10,Online,Delhi,3882.22,October,2024,Working Day,4
2133,Men,Training,Metcon 7,XL,2,0.0,2024-10-10,Retail,Pune,166.81,October,2024,Working Day,4
2134,Men,Training,ZoomX Invincible,M,2,0.0,2024-08-06,Online,Hyderabad,1009.28,August,2024,Working Day,3
2135,Men,Basketball,Zoom Freak,L,2,4735.44,2024-11-03,Retail,Hyderabad,2422.38,November,2024,Weekend,4
2136,Kids,Training,ZoomX Invincible,L,1,0.0,2024-09-15,Online,Pune,3672.24,September,2024,Weekend,3
2137,Men,Soccer,Phantom GT,UNKNOWN,0,0.0,2025-01-12,Online,Delhi,1796.76,January,2025,Weekend,1
2138,Men,Running,Pegasus Turbo,11,2,0.0,2025-06-14,Online,Mumbai,1840.09,June,2025,Weekend,2
2139,Women,Basketball,Air Jordan,M,2,0.0,2025-06-19,Retail,Mumbai,334.52,June,2025,Working Day,2
2140,Men,Basketball,Zoom Freak,M,2,0.0,2025-04-28,Online,Bangalore,875.45,April,2025,Working Day,2
2141,Kids,Soccer,Tiempo Legend,UNKNOWN,2,0.0,2023-11-22,Retail,Kolkata,1032.47,November,2023,Working Day,4
2142,Kids,Soccer,Mercurial Superfly,UNKNOWN,2,0.0,2024-10-03,Retail,Kolkata,995.59,October,2024,Working Day,4
2143,Kids,Training,ZoomX Invincible,L,1,0.0,2025-03-10,Online,Delhi,1006.66,March,2025,Working Day,1
2144,Women,Lifestyle,Waffle One,UNKNOWN,4,0.0,2025-03-30,Online,Kolkata,2385.1,March,2025,Weekend,1
2145,Men,Lifestyle,Blazer Mid,6,0,0.0,2024-07-30,Online,Bangalore,1335.45,July,2024,Working Day,3
2146,Kids,Basketball,Air Jordan,XL,2,0.0,2025-02-15,Retail,Mumbai,908.85,February,2025,Weekend,1
2147,Women,Soccer,Phantom GT,XL,1,0.0,2024-09-14,Online,Hyderabad,426.53,September,2024,Weekend,3
2148,Men,Basketball,Kyrie Flytrap,UNKNOWN,2,0.0,2025-06-19,Online,Hyderabad,520.55,June,2025,Working Day,2
2149,Women,Running,Pegasus Turbo,UNKNOWN,2,0.0,2025-05-20,Online,Kolkata,595.69,May,2025,Working Day,2
2150,Women,Basketball,LeBron 20,M,2,3445.74,2025-07-06,Online,Bangalore,3221.62,July,2025,Weekend,3
2151,Kids,Soccer,Tiempo Legend,L,4,0.0,2025-05-27,Online,Bangalore,2000.85,May,2025,Working Day,2
2152,Women,Running,Free RN,8,2,0.0,2024-08-18,Online,Bangalore,3819.41,August,2024,Weekend,3
2153,Men,Running,React Infinity,UNKNOWN,0,0.0,2024-08-18,Retail,Pune,1246.58,August,2024,Weekend,3
2154,Kids,Lifestyle,Blazer Mid,XL,2,0.0,2025-04-01,Online,Bangalore,2381.85,April,2025,Working Day,2
2155,Men,Soccer,Phantom GT,UNKNOWN,3,0.0,2024-08-31,Online,Hyderabad,1475.15,August,2024,Weekend,3
2156,Men,Soccer,Tiempo Legend,M,0,0.0,2024-08-31,Online,Pune,286.07,August,2024,Weekend,3
2157,Kids,Soccer,Premier III,UNKNOWN,1,0.0,2025-04-29,Online,Delhi,701.01,April,2025,Working Day,2
2158,Women,Running,React Infinity,M,1,0.0,2025-01-28,Online,Mumbai,514.79,January,2025,Working Day,1
2159,Women,Training,ZoomX Invincible,XL,2,0.0,2025-03-01,Retail,Delhi,2781.72,March,2025,Weekend,1
2160,Kids,Running,Air Zoom,XL,2,0.0,2025-03-01,Retail,Mumbai,3744.91,March,2025,Weekend,1
2161,Kids,Lifestyle,Waffle One,M,0,0.0,2025-03-06,Online,Pune,1956.8,March,2025,Working Day,1
2162,Men,Lifestyle,Blazer Mid,8,2,0.0,2025-03-06,Online,Mumbai,2398.55,March,2025,Working Day,1
2163,Men,Lifestyle,Dunk Low,7,2,0.0,2025-03-06,Retail,Hyderabad,3344.98,March,2025,Working Day,1
2164,Women,Soccer,Mercurial Superfly,8,0,0.0,2024-10-23,Online,Pune,872.9,October,2024,Working Day,4
2165,Kids,Training,SuperRep Go,L,4,0.0,2024-11-11,Retail,Kolkata,2460.19,November,2024,Working Day,4
2166,Women,Lifestyle,Air Force 1,M,2,0.0,2025-02-01,Online,Mumbai,3364.05,February,2025,Weekend,1
2167,Men,Running,React Infinity,XL,3,0.0,2024-08-01,Retail,Mumbai,1259.58,August,2024,Working Day,3
2168,Women,Running,Pegasus Turbo,UNKNOWN,2,0.0,2024-08-01,Retail,Kolkata,3011.49,August,2024,Working Day,3
2169,Kids,Training,Flex Trainer,UNKNOWN,4,16022.36,2024-12-14,Retail,Delhi,1057.58,December,2024,Weekend,4
2170,Kids,Lifestyle,Air Force 1,M,0,0.0,2025-06-28,Online,Kolkata,3218.82,June,2025,Weekend,2
2172,Women,Training,ZoomX Invincible,M,2,0.0,2024-12-17,Online,Bangalore,909.86,December,2024,Working Day,4
2173,Men,Running,Free RN,L,1,0.0,2025-03-29,Online,Bangalore,3770.03,March,2025,Weekend,1
2174,Women,Soccer,Phantom GT,L,2,0.0,2025-01-04,Retail,Pune,428.5,January,2025,Weekend,1
2175,Women,Lifestyle,Blazer Mid,UNKNOWN,2,0.0,2025-01-04,Online,Pune,2457.78,January,2025,Weekend,1
2176,Men,Soccer,Mercurial Superfly,UNKNOWN,4,0.0,2025-01-04,Online,Bangalore,3908.28,January,2025,Weekend,1
2177,Women,Lifestyle,Waffle One,XL,2,0.0,2025-06-27,Retail,Mumbai,885.37,June,2025,Working Day,2
2178,Men,Running,Free RN,UNKNOWN,1,0.0,2024-10-28,Retail,Bangalore,983.37,October,2024,Working Day,4
2179,Women,Training,ZoomX Invincible,M,3,0.0,2024-01-26,Retail,Pune,3135.92,January,2024,Working Day,1
2180,Women,Basketball,LeBron 20,XL,2,0.0,2024-05-15,Online,Pune,2189.84,May,2024,Working Day,2
2181,Women,Lifestyle,Air Force 1,XL,2,0.0,2025-01-06,Retail,Delhi,419.58,January,2025,Working Day,1
2182,Kids,Basketball,Zoom Freak,11,2,0.0,2025-06-08,Online,Mumbai,662.77,June,2025,Weekend,2
2183,Kids,Lifestyle,Waffle One,M,2,0.0,2025-06-08,Online,Pune,2927.93,June,2025,Weekend,2
2184,Men,Soccer,Mercurial Superfly,XL,4,0.0,2025-06-08,Retail,Hyderabad,1980.73,June,2025,Weekend,2
2185,Women,Training,ZoomX Invincible,XL,4,6900.2,2025-06-08,Online,Kolkata,615.48,June,2025,Weekend,2
2186,Men,Running,React Infinity,UNKNOWN,0,0.0,2024-11-09,Retail,Bangalore,540.83,November,2024,Weekend,4
2187,Men,Running,React Infinity,L,2,0.0,2024-11-09,Online,Mumbai,2402.99,November,2024,Weekend,4
2188,Men,Running,React Infinity,L,1,0.0,2024-10-02,Online,Pune,1278.03,October,2024,Working Day,4
2189,Men,Training,SuperRep Go,L,3,0.0,2024-10-02,Online,Hyderabad,3628.46,October,2024,Working Day,4
2190,Kids,Basketball,Kyrie Flytrap,L,2,0.0,2024-09-28,Online,Delhi,1949.77,September,2024,Weekend,3
2191,Men,Lifestyle,Air Force 1,8,3,0.0,2024-09-28,Retail,Pune,1032.88,September,2024,Weekend,3
2192,Men,Basketball,Kyrie Flytrap,XL,1,0.0,2023-10-13,Retail,Delhi,554.91,October,2023,Working Day,4
2193,Women,Lifestyle,Waffle One,XL,1,0.0,2025-01-17,Retail,Delhi,1803.66,January,2025,Working Day,1
2194,Men,Soccer,Mercurial Superfly,M,2,0.0,2024-10-27,Online,Hyderabad,926.03,October,2024,Weekend,4
2195,Women,Training,SuperRep Go,UNKNOWN,2,0.0,2025-06-30,Online,Delhi,1041.81,June,2025,Working Day,2
2196,Kids,Soccer,Premier III,L,2,0.0,2025-06-30,Online,Delhi,925.63,June,2025,Working Day,2
2197,Kids,Training,ZoomX Invincible,L,3,0.0,2024-10-06,Online,Bangalore,418.5,October,2024,Weekend,4
2198,Men,Training,SuperRep Go,7,4,0.0,2025-01-05,Online,Pune,169.33,January,2025,Weekend,1
2199,Men,Soccer,Premier III,M,1,0.0,2024-05-10,Retail,Kolkata,389.94,May,2024,Working Day,2
2200,Men,Basketball,Air Jordan,9,3,0.0,2024-05-10,Online,Delhi,1513.76,May,2024,Working Day,2
2201,Women,Training,SuperRep Go,11,2,0.0,2024-05-10,Online,Mumbai,1403.56,May,2024,Working Day,2
2202,Men,Basketball,Kyrie Flytrap,M,1,475.14,2025-07-04,Retail,Bangalore,1994.42,July,2025,Working Day,3
2203,Men,Lifestyle,Air Force 1,M,0,0.0,2025-05-17,Online,Pune,1556.95,May,2025,Weekend,2
2204,Men,Basketball,LeBron 20,7,2,0.0,2025-05-17,Online,Delhi,2076.75,May,2025,Weekend,2
2205,Women,Running,React Infinity,XL,0,0.0,2025-04-24,Retail,Pune,467.52,April,2025,Working Day,2
2206,Men,Training,Flex Trainer,M,2,0.0,2024-09-01,Online,Delhi,524.85,September,2024,Weekend,3
2207,Women,Running,Pegasus Turbo,XL,2,0.0,2024-09-01,Online,Hyderabad,2101.41,September,2024,Weekend,3
2208,Women,Basketball,LeBron 20,M,2,0.0,2024-09-01,Retail,Hyderabad,1074.04,September,2024,Weekend,3
2209,Kids,Training,SuperRep Go,UNKNOWN,2,0.0,2024-09-01,Retail,Hyderabad,1956.7,September,2024,Weekend,3
2210,Men,Lifestyle,Blazer Mid,XL,2,0.0,2024-08-09,Retail,Kolkata,701.02,August,2024,Working Day,3
2212,Women,Lifestyle,Blazer Mid,L,2,0.0,2024-09-23,Online,Kolkata,87.95,September,2024,Working Day,3
2213,Women,Running,Air Zoom,9,2,0.0,2024-12-16,Online,Delhi,3741.14,December,2024,Working Day,4
2214,Men,Basketball,LeBron 20,XL,2,0.0,2024-12-16,Retail,Mumbai,1446.0,December,2024,Working Day,4
2215,Men,Basketball,Zoom Freak,XL,3,0.0,2024-12-16,Online,Kolkata,3254.06,December,2024,Working Day,4
2216,Women,Lifestyle,Air Force 1,M,1,0.0,2025-04-15,Online,Hyderabad,2617.56,April,2025,Working Day,2
2217,Women,Lifestyle,Waffle One,L,2,0.0,2025-04-15,Retail,Delhi,2190.84,April,2025,Working Day,2
2218,Kids,Soccer,Premier III,6,2,0.0,2024-09-09,Online,Bangalore,1440.02,September,2024,Working Day,3
2219,Women,Basketball,Air Jordan,M,1,0.0,2024-09-09,Online,Bangalore,3305.72,September,2024,Working Day,3
2220,Kids,Training,SuperRep Go,M,2,0.0,2024-09-09,Online,Kolkata,890.14,September,2024,Working Day,3
2221,Kids,Lifestyle,Waffle One,L,2,0.0,2024-01-06,Retail,Mumbai,297.05,January,2024,Weekend,1
2222,Men,Training,ZoomX Invincible,XL,2,15837.0,2024-12-21,Retail,Mumbai,2821.69,December,2024,Weekend,4
2223,Kids,Training,Flex Trainer,M,1,0.0,2025-02-15,Online,Kolkata,799.28,February,2025,Weekend,1
2224,Kids,Lifestyle,Dunk Low,UNKNOWN,1,0.0,2024-09-24,Online,Pune,3278.7,September,2024,Working Day,3
2225,Kids,Basketball,Kyrie Flytrap,11,2,0.0,2025-06-28,Retail,Hyderabad,1136.63,June,2025,Weekend,2
2226,Women,Basketball,Zoom Freak,UNKNOWN,2,0.0,2025-06-28,Online,Delhi,131.04,June,2025,Weekend,2
2228,Kids,Basketball,Zoom Freak,UNKNOWN,2,0.0,2024-08-22,Online,Kolkata,127.34,August,2024,Working Day,3
2229,Men,Running,Air Zoom,XL,2,0.0,2025-03-26,Retail,Mumbai,3284.36,March,2025,Working Day,1
2230,Kids,Lifestyle,Dunk Low,10,2,0.0,2025-01-04,Online,Bangalore,781.56,January,2025,Weekend,1
2231,Kids,Training,Flex Trainer,9,0,0.0,2025-01-04,Online,Bangalore,39.48,January,2025,Weekend,1
2232,Women,Running,Free RN,XL,2,0.0,2024-11-17,Online,Kolkata,2409.87,November,2024,Weekend,4
2233,Men,Lifestyle,Air Force 1,XL,0,0.0,2024-12-21,Online,Kolkata,2398.07,December,2024,Weekend,4
2234,Men,Training,Flex Trainer,UNKNOWN,4,2970.77,2024-12-21,Retail,Bangalore,2085.62,December,2024,Weekend,4
